Disease,General_Diet_Recommendations,Veg_Diet,Non_Veg_Diet
Fungal infection,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","Garlic, Coconut oil, Turmeric, Yogurt (Probiotics), Leafy greens","Baked fish, Boiled eggs (avoid sugary marinades)"
Allergy,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","Quercetin-rich foods (Onions, Apples), Vitamin C (Citrus), Flaxseeds, Ginger","Salmon (Omega-3), Mackerel, Lean chicken broth"
GERD,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","Oatmeal, Ginger, Bananas, Melons, Boiled vegetables","Grilled chicken breast (no skin), Poached fish, Egg whites"
Chronic cholestasis,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","High-fiber lentils, Fruits, Whole grains, Low-fat tofu","Boiled lean fish, Egg whites, Steamed chicken"
Drug Reaction,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","Fresh fruit juices, Herbal teas, Probiotic yogurt, Green leafy vegetables","Light chicken soup, Steamed fish"
Peptic ulcer disease,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","Cabbage juice, Probiotic yogurt, Bananas, Honey, Steamed vegetables","Boiled eggs, Steamed lean chicken"
AIDS,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","Legumes, Nuts, Tofu, Fortified cereals, Avocado","Eggs, Lean meats, Fatty fish, Poultry"
Diabetes,"['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","Whole grains, Bitter gourd, Fenugreek, Leafy greens, Legumes","Grilled fish, Skinless chicken, Egg whites"
Gastroenteritis,"['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","Rice water, Bananas, Boiled potatoes, Toast, Coconut water","Chicken broth, Scrambled eggs (no oil)"
Bronchial Asthma,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","Fruits (Vitamin C), Ginger, Garlic, Spinach, Magnesium-rich seeds","Salmon, Tuna, Mackerel (Omega-3 fatty acids)"
Hypertension,"['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","DASH diet: Bananas, Spinach, Beetroot, Flaxseeds, Skimmed milk","Fatty fish, Lean chicken breast (Low salt)"
Migraine,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","Magnesium-rich foods (Spinach, Almonds), Ginger tea, Whole grains","Fresh salmon, Fresh chicken (Avoid processed meats)"
Cervical spondylosis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","Calcium-rich foods (Milk, Paneer), Soy products, Walnuts, Garlic","Small fatty fish (for Omega-3 and Vitamin D), Eggs"
